,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
215,208,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,21-231,2002,3.0,0,2,0,0.0,0.67,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
216,209,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,21-231,2002,12.3,2,20,7,35.0,1.63,0.57,0.10,0.29,15.2,0,0,0,2.8,2.8,0.14,-0.8,-0.8,Matches
217,210,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,23-166,2000,25.7,0,13,3,23.1,0.51,0.12,0.00,0.00,25.4,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
218,211,Nicolò Barella,it ITA,MF,Inter,it Serie A,27-073,1997,27.2,2,36,10,27.8,1.32,0.37,0.06,0.20,17.9,0,0,0,4.8,4.8,0.13,-2.8,-2.8,Matches
219,212,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,27-019,1997,3.4,0,4,2,50.0,1.19,0.59,0.00,0.00,14.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
220,213,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,30-137,1993,25.8,5,62,17,27.4,2.40,0.66,0.08,0.29,21.6,6,0,0,3.9,3.9,0.06,+1.1,+1.1,Matches
221,214,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25-335,1998,3.6,1,11,6,54.5,3.08,1.68,0.09,0.17,17.2,0,0,1,1.7,0.9,0.08,-0.7,+0.1,Matches
222,215,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,26-133,1997,6.5,4,21,9,42.9,3.22,1.38,0.19,0.44,16.9,0,0,0,2.7,2.7,0.13,+1.3,+1.3,Matches
223,216,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,24-108,2000,24.5,2,30,8,26.7,1.23,0.33,0.07,0.25,15.3,0,0,0,3.6,3.6,0.12,-1.6,-1.6,Matches
224,217,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22-334,2001,26.3,0,16,3,18.8,0.61,0.11,0.00,0.00,24.1,2,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
225,218,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,22-115,2001,12.5,3,31,10,32.3,2.48,0.80,0.10,0.30,18.5,1,0,0,2.7,2.7,0.10,+0.3,+0.3,Matches
226,219,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20-310,2003,14.6,0,14,5,35.7,0.96,0.34,0.00,0.00,21.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
227,220,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,18-113,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
228,221,Marc Bartra,es ESP,DF,Betis,es La Liga,33-096,1991,2.5,0,3,0,0.0,1.20,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
229,222,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,27-213,1996,30.6,0,15,5,33.3,0.49,0.16,0.00,0.00,11.1,0,0,0,1.5,1.3,0.09,-1.5,-1.3,Matches
230,223,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,19-097,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,224,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,35-275,1988,3.6,0,2,0,0.0,0.56,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
232,225,Toma Bašić,hr CRO,MF,Salernitana,it Serie A,27-147,1996,8.0,0,6,0,0.0,0.75,0.00,0.00,,28.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
233,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
234,226,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24-111,1999,20.6,1,5,1,20.0,0.24,0.05,0.20,1.00,10.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
235,227,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,25-007,1999,22.0,1,14,6,42.9,0.64,0.27,0.07,0.17,13.1,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
236,228,Simone Bastoni,it ITA,"DF,MF",Empoli,it Serie A,27-167,1996,6.3,1,4,1,25.0,0.63,0.16,0.25,1.00,23.4,2,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
237,229,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27-356,1996,14.0,0,1,0,0.0,0.07,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
238,230,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,33-099,1991,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
239,231,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,24-071,2000,8.3,1,4,1,25.0,0.48,0.12,0.25,1.00,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4,Matches
240,232,Elias Baum,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,18-177,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
241,233,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33-323,1990,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
242,234,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,24-263,1999,11.3,4,29,9,31.0,2.57,0.80,0.14,0.44,15.4,0,0,0,2.9,2.9,0.10,+1.1,+1.1,Matches
243,235,Bebé,cv CPV,"MF,FW",Rayo Vallecano,es La Liga,33-283,1990,1.9,2,10,3,30.0,5.26,1.58,0.10,0.33,31.2,1,1,1,1.3,0.5,0.05,+0.7,+0.5,Matches
244,236,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,de Bundesliga,29-363,1994,14.9,5,31,10,32.3,2.08,0.67,0.16,0.50,17.5,0,0,0,3.7,3.7,0.12,+1.3,+1.3,Matches
245,237,Mohamed Bechikh,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,18-282,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
246,238,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26-316,1997,10.8,1,12,3,25.0,1.11,0.28,0.08,0.33,13.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches
247,239,Owen Beck,wls WAL,DF,Liverpool,eng Premier League,21-255,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
248,240,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,29-071,1995,3.8,1,11,5,45.5,2.92,1.33,0.09,0.20,16.9,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
249,241,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,29-071,1995,7.2,0,16,4,25.0,2.23,0.56,0.00,0.00,20.5,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
250,242,Chris Bedia,ci CIV,"FW,MF",Union Berlin,de Bundesliga,28-046,1996,0.7,0,2,0,0.0,2.86,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
251,243,Donny van de Beek,nl NED,DF,Manchester Utd,eng Premier League,27-002,1997,0.0,0,1,0,0.0,30.00,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
252,244,Donny van de Beek,nl NED,"MF,FW",Eint Frankfurt,de Bundesliga,27-002,1997,3.8,0,1,0,0.0,0.26,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
253,245,Yanis Begraoui,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22-291,2001,3.3,0,8,4,50.0,2.40,1.20,0.00,0.00,17.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
254,246,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33-077,1991,6.3,1,11,6,54.5,1.75,0.96,0.09,0.17,11.6,0,0,0,1.6,1.6,0.15,-0.6,-0.6,Matches
255,247,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,33-077,1991,14.0,4,41,13,31.7,2.92,0.93,0.10,0.31,10.8,0,0,0,6.0,6.0,0.15,-2.0,-2.0,Matches
256,248,Maximilian Beier,de GER,"FW,MF",Hoffenheim,de Bundesliga,21-186,2002,22.7,13,71,33,46.5,3.13,1.45,0.18,0.39,15.4,0,0,0,9.8,9.8,0.14,+3.2,+3.2,Matches
257,249,Jérémie Bela,ao ANG,"MF,FW",Clermont Foot,fr Ligue 1,31-012,1993,1.2,0,3,2,66.7,2.57,1.71,0.00,0.00,28.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
258,250,Reda Belahyane,fr FRA,MF,Hellas Verona,it Serie A,19-324,2004,0.2,0,1,1,100.0,5.29,5.29,0.00,0.00,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
259,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
260,251,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,19-324,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
261,252,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29-351,1994,19.1,0,2,2,100.0,0.10,0.10,0.00,0.00,18.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
262,253,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,32-240,1991,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
263,254,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,22-110,2002,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,255,Raoul Bellanova,it ITA,"DF,MF",Torino,it Serie A,23-339,2000,28.6,1,29,2,6.9,1.02,0.07,0.03,0.50,15.9,0,0,0,2.0,2.0,0.07,-1.0,-1.0,Matches
265,256,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,25-298,1998,9.0,2,14,5,35.7,1.56,0.56,0.14,0.40,17.2,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
266,257,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25-298,1998,3.0,2,5,3,60.0,1.67,1.00,0.40,0.67,22.5,2,0,0,0.6,0.6,0.11,+1.4,+1.4,Matches
267,258,Héctor Bellerín,es ESP,DF,Betis,es La Liga,29-032,1995,17.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
268,259,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,20-296,2003,22.4,16,54,28,51.9,2.41,1.25,0.28,0.54,14.5,0,1,1,10.4,9.6,0.18,+5.6,+5.4,Matches
269,260,Jeanuël Belocian,fr FRA,DF,Rennes,fr Ligue 1,19-063,2005,14.1,0,2,0,0.0,0.14,0.00,0.00,,11.1,0,0,0,0.5,0.5,0.25,-0.5,-0.5,Matches
270,261,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,30-122,1993,8.2,1,27,6,22.2,3.31,0.73,0.04,0.17,14.2,0,0,0,2.5,2.5,0.09,-1.5,-1.5,Matches
271,262,Andrea Belotti,it ITA,FW,Roma,it Serie A,30-122,1993,7.5,3,15,8,53.3,1.99,1.06,0.20,0.38,13.9,0,0,0,2.4,2.4,0.16,+0.6,+0.6,Matches
272,263,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,25-077,1999,20.9,0,14,1,7.1,0.67,0.05,0.00,0.00,26.8,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
273,264,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,23-022,2001,16.5,6,26,6,23.1,1.58,0.36,0.19,0.83,15.6,0,1,1,3.6,2.8,0.11,+2.4,+2.2,Matches
274,265,Eliesse Ben Seghir,ma MAR,"FW,MF",Monaco,fr Ligue 1,19-064,2005,3.0,1,9,2,22.2,3.03,0.67,0.11,0.50,17.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
275,266,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,eng Premier League,23-035,2001,4.1,0,6,3,50.0,1.46,0.73,0.00,0.00,18.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
276,267,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,33-252,1990,20.7,11,47,21,44.7,2.27,1.01,0.21,0.48,11.6,0,1,1,8.8,8.0,0.17,+2.2,+2.0,Matches
277,268,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,26-021,1998,8.3,1,8,4,50.0,0.97,0.48,0.13,0.25,19.5,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
